#Time since start in ms ,GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),Heading direction (°)
0,0.37,-0.79,1.04,36.89
18,0.37,-0.79,1.04,36.89
37,0.37,-0.79,1.04,36.89
58,0.37,-0.79,1.04,37.98
78,0.37,-0.98,0.49,37.98
99,0.37,-0.98,0.49,37.98
117,0.37,-0.98,0.49,37.98
137,-0.3,2.44,-0.06,37.98
159,-0.3,2.44,-0.06,34.44
183,-0.3,2.44,-0.06,34.44
199,0.61,-0.31,-0.24,34.44
217,0.61,-0.31,-0.24,35.44
237,0.61,-0.31,-0.24,35.44
258,0.61,-0.31,-0.24,35.44
277,-0.67,-0.85,-0.55,34.01
298,-0.67,-0.85,-0.55,34.01
318,-0.67,-0.85,-0.55,34.67
338,-0.3,-0.67,-0.61,34.67
357,-0.3,-0.67,-0.61,34.67
378,-0.3,-0.67,-0.61,34.67
398,-0.43,-0.18,-1.16,34.67
418,-0.43,-0.18,-1.16,34.67
437,-0.43,-0.18,-1.16,37.88
457,-0.43,-0.18,-1.16,37.88
477,0.92,1.28,-0.73,37.88
502,0.92,1.28,-0.73,36.36
517,0.92,1.28,-0.73,36.36
537,-0.55,-0.49,-1.52,36.31
557,-0.55,-0.49,-1.52,36.31
578,-0.55,-0.49,-1.52,36.31
597,0.24,0.73,-0.85,34.88
618,0.24,0.73,-0.85,34.88
638,0.24,0.73,-0.85,34.88
657,0.24,0.73,-0.85,34.88
677,1.53,0.98,-1.95,34.88
697,1.53,0.98,-1.95,34.37
718,1.53,0.98,-1.95,34.37
738,1.16,0.67,2.56,34.37
758,1.16,0.67,2.56,37.97
777,1.16,0.67,2.56,37.97
797,-1.04,-0.98,-1.95,38
818,-1.04,-0.98,-1.95,38
838,-1.04,-0.98,-1.95,38
858,-1.04,-0.98,-1.95,37.93
879,0.43,0.61,1.47,37.93
897,0.43,0.61,1.47,37.93
919,0.43,0.61,1.47,37.93
937,-0.91,-0.55,0.37,37.93
958,-0.91,-0.55,0.37,37.93
977,-0.91,-0.55,0.37,35.03
997,-0.91,-0.55,0.37,35.03
1019,0.85,-0.49,-1.16,38.42
1037,0.85,-0.49,-1.16,38.42
1057,0.85,-0.49,-1.16,38.42
1079,-0.55,0.49,0,38.37
1097,-0.55,0.49,0,38.37
1121,-0.55,0.49,0,36.43
1138,2.69,1.4,-0.06,36.43
1157,2.69,1.4,-0.06,36.43
1177,2.69,1.4,-0.06,36.43
1198,2.69,1.4,-0.06,36.43
1220,-1.04,-0.49,0.24,36.43
1238,-1.04,-0.49,0.24,37.84
1257,-1.04,-0.49,0.24,37.84
1277,-0.3,-0.31,0.61,37.84
1297,-0.3,-0.31,0.61,36.32
1320,-0.3,-0.31,0.61,36.32
1337,-1.22,0.12,0.43,36.3
1357,-1.22,0.12,0.43,36.3
1378,-1.22,0.12,0.43,36.3
1397,-1.22,0.12,0.43,37.82
1421,2.69,-0.55,0.43,37.82
1438,2.69,-0.55,0.43,37.82
1458,2.69,-0.55,0.43,37.82
1477,-1.77,-0.18,-0.79,37.82
1498,-1.77,-0.18,-0.79,34.11
1517,-1.77,-0.18,-0.79,34.11
1539,1.28,0.43,1.04,34.11
